INDCLIM,INDSINOP,NOMBRE,PROVINCIA,LATITUD,LONGITUD,ALTITUD
1351;08004;ESTACA DE BARES;A CORUÑA;43 47 14 N;07 41 00 W;80
1354C;08005;FERROL-LA GRAÑA;A CORUÑA;43 28 31 N;08 15 37 W;4
1363X;;AS PONTES,A AEROSA;A CORUÑA;43 26 48 N;07 51 36 W;343
1387;08001;A CORUÑA;A CORUÑA;43 22 02 N;08 25 10 W;58
1387E;08002;A CORUÑA/ALVEDRO;A CORUÑA;43 18 25 N;08 22 20 W;98
1390X;;CARBALLO;A CORUÑA;43 12 17 N;08 42 34 W;98
1393;08006;CABO VILAN;A CORUÑA;43 09 38 N;09 12 39 W;50
1399;;VIMIANZO-CASTRELO;A CORUÑA;43 03 29 N;09 02 44 W;287
1400;08040;FISTERRA;A CORUÑA;42 55 35 N;09 17 22 W;230
1406X;;MAZARICOS-A PICOTA;A CORUÑA;42 56 12 N;08 59 30 W;340
1410X;;SOBRADO DOS MONXES;A CORUÑA;43 02 21 N;08 01 14 W;500
1428;08042;SANTIAGO DE COMPOSTELA/LABACOLLA;A CORUÑA;42 53 16 N;08 24 39 W;370
1435C;;NOIA;A CORUÑA;42 48 05 N;08 52 28 W;128
1442U;;BOIRO;A CORUÑA;42 38 42 N;08 53 26 W;10
1473A;08039;PADRÓN;A CORUÑA;42 44 22 N;08 37 39 W;100
1475X;08041;SANTIAGO DE COMPOSTELA;A CORUÑA;42 52 31 N;08 33 01 W;240
1476R;;CASAS DO PORTO;A CORUÑA;42 45 02 N;08 42 47 W;210
1044X;;ARAMAYONA ECHAGÜEN;ÁLAVA;43 03 28 N;02 35 22 W;617
1060X;;AMURRIO (INSTITUTO);ÁLAVA;43 03 05 N;03 00 15 W;240
9060X;;LALASTRA-PARQUE VALDEREJO;ÁLAVA;42 52 35 N;03 13 49 W;910
9073X;;OPAKUA;ÁLAVA;42 49 51 N;02 21 30 W;660
9091O;08080;VITORIA/FORONDA;ÁLAVA;42 52 19 N;02 44 00 W;513
9122I;;LABASTIDA- REMELLURI;ÁLAVA;42 36 13 N;02 46 24 W;610
9145X;;LEZA (DFA2);ÁLAVA;42 34 06 N;02 37 54 W;575
9178X;;SANTA CRUZ DE CAMPEZO (DFA);ÁLAVA;42 40 18 N;02 20 41 W;570
4007Y;;OSSA DE MONTIEL;ALBACETE;38 57 57 N;02 44 42 W;905
4091Y;;VILLARROBLEDO;ALBACETE;39 15 47 N;02 35 29 W;718
4096Y;;MUNERA , SAN BARTOLOMÉ (AUTOMÁTICA);ALBACETE;39 01 00 N;02 29 20 W;918
